,arrival,total,remain,reserved,region
0,광주(유·스퀘어),681,626,55,광주
1,대구북부,784,695,89,대구
2,대구서부,1435,1261,174,대구
3,동대구,728,668,60,대구
4,동서울,1840,1353,487,서울
5,부산동래,792,792,0,부산
6,부산동부,1674,1517,157,부산
7,부산서부(사상),924,786,138,부산
8,부산해운대(수도권),980,826,154,부산
9,서울남부,1252,871,381,서울
10,송도환승센터,0,0,0,인천
11,인천,1978,1944,34,인천
12,해운대,336,286,50,부산
13,현풍,444,363,81,서울
14,강릉시외터미널,3253,2304,949,강릉
15,속초,2174,1568,606,속초
16,양양,569,390,179,양양
17,춘천,2558,2197,361,춘천
18,평창,235,193,42,평창
19,홍천,2925,2622,303,홍천
20,횡성,1885,1754,131,횡성
21,거제(고현),2459,2078,381,거제
22,장승포,743,635,108,거제
23,창원,1873,1732,141,창원
24,창원남산,410,410,0,창원
25,창원역,0,0,0,창원
26,통영,2490,2203,287,통영
27,경주,3474,3178,296,경주
28,경주고속,56,23,33,경주
29,포항,3778,3345,433,포항
30,동광양,1124,935,189,광양
31,목포,1241,1139,102,목포
32,순천,1432,1182,250,순천
33,신대지구(순천),191,110,81,순천
34,여수,783,476,307,여수
35,전주시외터미널,3214,2832,382,전주
36,군산,2532,2323,209,군산
37,군산고속,0,0,0,군산
