date,car,bus,station_code,station_name,city
2020-07-28,2101,109,133,건천,경주
2020-07-29,2080,95,133,건천,경주
2020-07-30,2149,120,133,건천,경주
2020-07-31,3476,106,133,건천,경주
2020-07-01,9335,423,135,경주,경주
2020-07-02,10050,394,135,경주,경주
2020-07-03,12785,400,135,경주,경주
2020-07-04,17778,217,135,경주,경주
2020-07-05,21675,112,135,경주,경주
2020-07-06,10177,347,135,경주,경주
2020-07-07,9446,421,135,경주,경주
2020-07-08,9523,388,135,경주,경주
2020-07-09,10392,413,135,경주,경주
2020-07-10,11529,325,135,경주,경주
2020-07-11,17124,197,135,경주,경주
2020-07-12,20724,110,135,경주,경주
2020-07-13,8419,307,135,경주,경주
2020-07-14,9154,333,135,경주,경주
2020-07-15,9553,375,135,경주,경주
2020-07-16,10567,417,135,경주,경주
2020-07-17,13038,400,135,경주,경주
2020-07-18,18601,237,135,경주,경주
2020-07-19,20437,104,135,경주,경주
2020-07-20,9827,374,135,경주,경주
2020-07-21,10499,396,135,경주,경주
2020-07-22,8823,365,135,경주,경주
2020-07-23,9016,355,135,경주,경주
2020-07-24,11599,378,135,경주,경주
2020-07-25,14618,190,135,경주,경주
2020-07-26,21744,111,135,경주,경주
2020-07-27,10827,356,135,경주,경주
2020-07-28,9769,335,135,경주,경주
2020-07-29,10239,382,135,경주,경주
2020-07-30,11139,358,135,경주,경주
2020-07-31,16789,367,135,경주,경주
2020-07-01,29373,956,140,부산,부산
2020-07-02,30890,993,140,부산,부산
2020-07-03,33135,1023,140,부산,부산
2020-07-04,35990,658,140,부산,부산
2020-07-05,32693,275,140,부산,부산
2020-07-06,30726,953,140,부산,부산
2020-07-07,30170,997,140,부산,부산
2020-07-08,30635,988,140,부산,부산
2020-07-09,31045,1023,140,부산,부산
2020-07-10,28422,912,140,부산,부산
2020-07-11,34900,620,140,부산,부산
2020-07-12,29022,233,140,부산,부산
2020-07-13,26971,827,140,부산,부산
2020-07-14,30060,961,140,부산,부산
2020-07-15,30670,991,140,부산,부산
2020-07-16,31859,1049,140,부산,부산
2020-07-17,34892,1032,140,부산,부산
2020-07-18,36981,665,140,부산,부산
2020-07-19,28285,264,140,부산,부산
2020-07-20,30715,924,140,부산,부산
2020-07-21,31404,1012,140,부산,부산
2020-07-22,27889,900,140,부산,부산
2020-07-23,28543,914,140,부산,부산
2020-07-24,30948,951,140,부산,부산
2020-07-25,32685,600,140,부산,부산
2020-07-26,32177,278,140,부산,부산
2020-07-27,29951,897,140,부산,부산
2020-07-28,28003,948,140,부산,부산
2020-07-29,30154,992,140,부산,부산
2020-07-30,30653,949,140,부산,부산
2020-07-31,36030,976,140,부산,부산
2020-07-01,10635,384,146,동창원,창원
2020-07-02,10784,408,146,동창원,창원
2020-07-03,11838,432,146,동창원,창원
2020-07-04,11268,178,146,동창원,창원
2020-07-05,9161,74,146,동창원,창원
2020-07-06,10468,366,146,동창원,창원
2020-07-07,10532,385,146,동창원,창원
2020-07-08,11070,412,146,동창원,창원
2020-07-09,10889,442,146,동창원,창원
2020-07-10,10639,336,146,동창원,창원
2020-07-11,11531,200,146,동창원,창원
2020-07-12,8440,68,146,동창원,창원
2020-07-13,9195,306,146,동창원,창원
2020-07-14,10118,372,146,동창원,창원
2020-07-15,10555,376,146,동창원,창원
2020-07-16,11127,388,146,동창원,창원
2020-07-17,12311,390,146,동창원,창원
2020-07-18,11557,189,146,동창원,창원
2020-07-19,8120,53,146,동창원,창원
2020-07-20,10235,343,146,동창원,창원
2020-07-21,10845,404,146,동창원,창원
2020-07-22,10219,336,146,동창원,창원
2020-07-23,9989,320,146,동창원,창원
2020-07-24,11314,352,146,동창원,창원
2020-07-25,10198,174,146,동창원,창원
2020-07-26,9265,81,146,동창원,창원
2020-07-27,10192,372,146,동창원,창원
2020-07-28,9788,314,146,동창원,창원
2020-07-29,10497,383,146,동창원,창원
2020-07-30,10691,368,146,동창원,창원
2020-07-31,12454,376,146,동창원,창원
2020-07-01,28595,525,150,북부산,부산
2020-07-02,28858,524,150,북부산,부산
2020-07-03,30417,512,150,북부산,부산
2020-07-04,31792,288,150,북부산,부산
2020-07-05,26968,150,150,북부산,부산
2020-07-06,28601,493,150,북부산,부산
2020-07-07,27879,506,150,북부산,부산
2020-07-08,28477,499,150,북부산,부산
2020-07-09,28934,527,150,북부산,부산
2020-07-10,26687,412,150,북부산,부산
2020-07-11,31315,301,150,북부산,부산
2020-07-12,24659,155,150,북부산,부산
2020-07-13,25414,405,150,북부산,부산
2020-07-14,27829,485,150,북부산,부산
2020-07-15,27908,546,150,북부산,부산
2020-07-16,29107,504,150,북부산,부산
2020-07-17,30665,538,150,북부산,부산
2020-07-18,31424,305,150,북부산,부산
2020-07-19,23849,134,150,북부산,부산
2020-07-20,28182,465,150,북부산,부산
2020-07-21,28416,481,150,북부산,부산
2020-07-22,26336,465,150,북부산,부산
2020-07-23,26516,459,150,북부산,부산
2020-07-24,28183,437,150,북부산,부산
2020-07-25,29406,287,150,북부산,부산
2020-07-26,26103,145,150,북부산,부산
2020-07-27,27817,485,150,북부산,부산
2020-07-28,25958,426,150,북부산,부산
2020-07-29,27839,500,150,북부산,부산
2020-07-30,28491,493,150,북부산,부산
2020-07-31,32296,516,150,북부산,부산
2020-07-01,5295,257,158,전주,전주
2020-07-02,5295,239,158,전주,전주
2020-07-03,6911,253,158,전주,전주
2020-07-04,6981,108,158,전주,전주
2020-07-05,7314,53,158,전주,전주
2020-07-06,6125,223,158,전주,전주
2020-07-07,5510,240,158,전주,전주
2020-07-08,5659,229,158,전주,전주
2020-07-09,5821,229,158,전주,전주
2020-07-10,6577,211,158,전주,전주
2020-07-11,7428,113,158,전주,전주
2020-07-12,6768,53,158,전주,전주
2020-07-13,5535,183,158,전주,전주
2020-07-14,5296,224,158,전주,전주
2020-07-15,5566,231,158,전주,전주
2020-07-16,6009,202,158,전주,전주
2020-07-17,7194,226,158,전주,전주
2020-07-18,7679,128,158,전주,전주
2020-07-19,7030,47,158,전주,전주
2020-07-20,5769,196,158,전주,전주
2020-07-21,5837,231,158,전주,전주
2020-07-22,5628,226,158,전주,전주
2020-07-23,5476,204,158,전주,전주
2020-07-24,6585,224,158,전주,전주
2020-07-25,7048,113,158,전주,전주
2020-07-26,7145,57,158,전주,전주
2020-07-27,6292,206,158,전주,전주
2020-07-28,5633,228,158,전주,전주
2020-07-29,5511,210,158,전주,전주
2020-07-30,5389,197,158,전주,전주
2020-07-31,7337,209,158,전주,전주
2020-07-01,5413,225,159,서전주,전주
2020-07-02,5536,215,159,서전주,전주
2020-07-03,6937,244,159,서전주,전주
2020-07-04,6780,126,159,서전주,전주
2020-07-05,6771,57,159,서전주,전주
2020-07-06,5858,192,159,서전주,전주
2020-07-07,5464,252,159,서전주,전주
2020-07-08,5656,224,159,서전주,전주
2020-07-09,5833,226,159,서전주,전주
2020-07-10,7120,205,159,서전주,전주
2020-07-11,6892,116,159,서전주,전주
2020-07-12,6632,54,159,서전주,전주
2020-07-13,5257,181,159,서전주,전주
2020-07-14,5378,208,159,서전주,전주
2020-07-15,5665,204,159,서전주,전주
2020-07-16,6045,230,159,서전주,전주
2020-07-17,7561,230,159,서전주,전주
2020-07-18,7292,125,159,서전주,전주
2020-07-19,6940,45,159,서전주,전주
2020-07-20,5610,185,159,서전주,전주
2020-07-21,5742,216,159,서전주,전주
2020-07-22,5549,222,159,서전주,전주
2020-07-23,5369,194,159,서전주,전주
2020-07-24,7008,196,159,서전주,전주
2020-07-25,6709,118,159,서전주,전주
2020-07-26,6781,55,159,서전주,전주
2020-07-27,6068,188,159,서전주,전주
2020-07-28,5609,217,159,서전주,전주
2020-07-29,5377,201,159,서전주,전주
2020-07-30,5370,197,159,서전주,전주
2020-07-31,7300,200,159,서전주,전주
2020-07-01,15120,686,167,광주,광주
