,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 10,서울경부,창원,26,28,(주)중앙고속,우등
1,06 : 45,서울경부,창원,26,28,(주)동양고속,우등
2,07 : 10,서울경부,창원,14,21,(주)동양고속,프리미엄
3,07 : 40,서울경부,창원,23,28,(주)중앙고속,우등
4,08 : 10,서울경부,창원,43,45,(주)중앙고속,고속
5,08 : 40,서울경부,창원,23,28,(주)동양고속,우등
6,09 : 10,서울경부,창원,15,21,(주)중앙고속,프리미엄
7,09 : 40,서울경부,창원,28,28,(주)중앙고속,우등
8,10 : 10,서울경부,창원,38,45,(주)동양고속,고속
9,10 : 40,서울경부,창원,12,21,(주)동양고속,프리미엄
10,11 : 40,서울경부,창원,18,21,(주)중앙고속,프리미엄
11,12 : 10,서울경부,창원,24,28,(주)중앙고속,우등
12,12 : 40,서울경부,창원,8,21,(주)동양고속,프리미엄
13,13 : 00,서울경부,창원,26,28,(주)동양고속,우등
14,13 : 30,서울경부,창원,6,21,(주)중앙고속,프리미엄
15,14 : 00,서울경부,창원,22,28,(주)중앙고속,우등
16,14 : 30,서울경부,창원,39,45,(주)동양고속,고속
17,15 : 00,서울경부,창원,16,28,(주)동양고속,우등
18,15 : 30,서울경부,창원,1,21,(주)동양고속,프리미엄
19,16 : 00,서울경부,창원,16,28,(주)중앙고속,우등
20,16 : 30,서울경부,창원,15,28,(주)동양고속,우등
21,17 : 00,서울경부,창원,7,21,(주)중앙고속,프리미엄
22,17 : 30,서울경부,창원,22,28,(주)중앙고속,우등
23,18 : 00,서울경부,창원,7,21,(주)동양고속,프리미엄
24,19 : 00,서울경부,창원,12,21,(주)중앙고속,프리미엄
25,19 : 30,서울경부,창원,24,28,(주)중앙고속,우등
26,20 : 00,서울경부,창원,11,21,(주)동양고속,프리미엄
27,20 : 30,서울경부,창원,27,28,(주)동양고속,우등
28,21 : 00,서울경부,창원,23,28,(주)중앙고속,우등
29,22 : 30,서울경부,창원,23,28,(주)동양고속,심야우등
30,24 : 00,서울경부,창원,25,28,(주)중앙고속,심야우등
31,09 : 00,동서울,창원,45,45,(주)동양고속,고속
32,10 : 30,동서울,창원,18,28,(주)중앙고속,우등
33,16 : 00,동서울,창원,33,45,(주)중앙고속,고속
34,17 : 30,동서울,창원,21,28,(주)동양고속,우등
35,10 : 10,용인,창원,18,28,(주)중앙고속,우등
36,16 : 10,용인,창원,13,28,(주)동양고속,우등
37,09 : 00,성남(분당),창원,16,28,(주)중앙고속,우등
38,13 : 00,성남(분당),창원,8,28,(주)동양고속,우등
39,16 : 30,성남(분당),창원,32,45,(주)동양고속,고속
40,20 : 00,성남(분당),창원,15,28,(주)동양고속,우등
41,08 : 05,광주(유·스퀘어),창원,33,40,금호고속(주),고속
42,09 : 20,광주(유·스퀘어),창원,23,28,금호고속(주),우등
43,10 : 20,광주(유·스퀘어),창원,33,40,금호고속(주),고속
44,13 : 25,광주(유·스퀘어),창원,6,28,금호고속(주),우등
45,14 : 25,광주(유·스퀘어),창원,29,40,금호고속(주),고속
46,15 : 45,광주(유·스퀘어),창원,18,28,금호고속(주),우등
47,18 : 15,광주(유·스퀘어),창원,18,28,금호고속(주),우등
48,20 : 05,광주(유·스퀘어),창원,32,40,금호고속(주),고속
49,22 : 05,광주(유·스퀘어),창원,21,28,금호고속(주),심야우등
