,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 00,서울경부,포항,24,28,(주)한일고속,우등
1,06 : 40,서울경부,포항,11,21,(주)천일고속,프리미엄
2,07 : 20,서울경부,포항,14,28,(주)동양고속,우등
3,08 : 00,서울경부,포항,12,45,(주)한일고속,고속
4,08 : 40,서울경부,포항,11,21,(주)동양고속,프리미엄
5,09 : 20,서울경부,포항,7,28,(주)천일고속,우등
6,10 : 05,서울경부,포항,23,28,(주)동양고속,우등
7,10 : 40,서울경부,포항,8,21,(주)동양고속,프리미엄
8,11 : 20,서울경부,포항,20,28,(주)한일고속,우등
9,12 : 00,서울경부,포항,23,28,(주)동양고속,우등
10,12 : 30,서울경부,포항,14,21,(주)한일고속,프리미엄
11,13 : 10,서울경부,포항,27,45,(주)동양고속,고속
12,14 : 00,서울경부,포항,11,28,(주)동양고속,우등
13,14 : 30,서울경부,포항,2,21,(주)한일고속,프리미엄
14,15 : 00,서울경부,포항,17,28,(주)천일고속,우등
15,15 : 30,서울경부,포항,17,28,(주)동양고속,우등
16,16 : 00,서울경부,포항,5,21,(주)천일고속,프리미엄
17,16 : 30,서울경부,포항,15,28,(주)천일고속,우등
18,17 : 00,서울경부,포항,16,28,(주)동양고속,우등
19,17 : 30,서울경부,포항,11,28,(주)한일고속,우등
20,18 : 00,서울경부,포항,10,21,(주)동양고속,프리미엄
21,18 : 40,서울경부,포항,38,45,(주)천일고속,고속
22,19 : 20,서울경부,포항,18,28,(주)동양고속,우등
23,20 : 00,서울경부,포항,19,21,(주)한일고속,프리미엄
24,20 : 40,서울경부,포항,20,28,(주)천일고속,우등
25,21 : 20,서울경부,포항,25,28,(주)동양고속,우등
26,22 : 10,서울경부,포항,19,21,(주)천일고속,심야프리미엄
27,23 : 00,서울경부,포항,24,28,(주)한일고속,심야우등
28,24 : 00,서울경부,포항,21,21,(주)동양고속,심야프리미엄
29,08 : 15,광주(유·스퀘어),포항,22,28,(주)한일고속,우등
30,11 : 05,광주(유·스퀘어),포항,1,28,(주)한일고속,우등
31,14 : 00,광주(유·스퀘어),포항,0,28,(주)동양고속,우등
32,17 : 05,광주(유·스퀘어),포항,0,28,(주)동양고속,우등
33,07 : 50,대전복합,포항,24,28,(주)천일고속,우등
34,09 : 20,대전복합,포항,26,28,(주)동양고속,우등
35,15 : 20,대전복합,포항,26,28,(주)동양고속,우등
36,18 : 10,대전복합,포항,18,28,(주)천일고속,우등
37,19 : 30,대전복합,포항,28,28,(주)동양고속,우등
