,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 00,서울경부,부산,22,28,(주)중앙고속,우등
1,06 : 30,서울경부,부산,20,21,(주)중앙고속,프리미엄
2,07 : 00,서울경부,부산,26,28,(주)동양고속,우등
3,07 : 30,서울경부,부산,43,45,(주)천일고속,고속
4,08 : 00,서울경부,부산,14,28,(주)한일고속,우등
5,08 : 20,서울경부,부산,6,21,(주)삼화고속,프리미엄
6,08 : 40,서울경부,부산,40,45,금호고속(주),고속
7,09 : 00,서울경부,부산,15,28,(주)동양고속,우등
8,09 : 20,서울경부,부산,14,21,(주)천일고속,프리미엄
9,09 : 40,서울경부,부산,20,28,(주)중앙고속,우등
10,10 : 00,서울경부,부산,11,28,(주)동양고속,우등
11,10 : 30,서울경부,부산,13,21,(주)한일고속,프리미엄
12,11 : 00,서울경부,부산,25,28,금호고속(주),우등
13,11 : 30,서울경부,부산,23,28,(주)동양고속,우등
14,12 : 00,서울경부,부산,16,21,금호고속(주),프리미엄
15,12 : 30,서울경부,부산,25,28,(주)중앙고속,우등
16,13 : 00,서울경부,부산,17,21,(주)동양고속,프리미엄
17,13 : 30,서울경부,부산,15,28,(주)동양고속,우등
18,14 : 00,서울경부,부산,11,21,(주)삼화고속,프리미엄
19,14 : 30,서울경부,부산,23,28,금호고속(주),우등
20,15 : 00,서울경부,부산,21,21,(주)천일고속,프리미엄
21,15 : 30,서울경부,부산,24,28,(주)동양고속,우등
22,16 : 00,서울경부,부산,15,21,(주)한일고속,프리미엄
23,16 : 20,서울경부,부산,21,28,(주)천일고속,우등
24,16 : 40,서울경부,부산,18,21,(주)한일고속,프리미엄
25,17 : 20,서울경부,부산,45,45,(주)중앙고속,고속
26,17 : 40,서울경부,부산,17,21,금호고속(주),프리미엄
27,18 : 00,서울경부,부산,16,28,금호고속(주),우등
28,18 : 20,서울경부,부산,27,45,(주)삼화고속,고속
29,20 : 00,서울경부,부산,26,28,(주)중앙고속,우등
30,20 : 30,서울경부,부산,19,21,(주)중앙고속,프리미엄
31,21 : 00,서울경부,부산,42,45,(주)한일고속,고속
32,21 : 30,서울경부,부산,19,21,(주)삼화고속,프리미엄
33,22 : 00,서울경부,부산,27,28,(주)한일고속,심야우등
34,23 : 00,서울경부,부산,21,21,(주)천일고속,심야프리미엄
35,23 : 30,서울경부,부산,21,28,금호고속(주),심야우등
36,24 : 00,서울경부,부산,19,21,금호고속(주),심야프리미엄
37,06 : 30,동서울,부산,17,45,(주)한일고속,고속
38,09 : 20,동서울,부산,29,45,(주)중앙고속,고속
39,10 : 30,동서울,부산,13,28,(주)천일고속,우등
40,11 : 50,동서울,부산,23,28,금호고속(주),우등
41,13 : 20,동서울,부산,27,28,금호고속(주),우등
42,14 : 40,동서울,부산,38,45,금호고속(주),고속
43,16 : 00,동서울,부산,22,28,(주)한일고속,우등
44,06 : 30,용인,부산,23,28,(주)대원고속,우등
45,09 : 00,용인,부산,17,28,(주)대원고속,우등
46,11 : 30,용인,부산,20,28,경남여객,우등
47,14 : 00,용인,부산,23,28,(주)대원고속,우등
48,16 : 30,용인,부산,22,28,(주)대원고속,우등
49,07 : 20,성남(분당),부산,16,28,금호속리산고속(주),우등
50,09 : 30,성남(분당),부산,11,28,금호속리산고속(주),우등
51,11 : 30,성남(분당),부산,22,28,금호속리산고속(주),우등
52,15 : 00,성남(분당),부산,14,28,금호고속(주),우등
53,18 : 40,성남(분당),부산,27,28,금호고속(주),우등
54,08 : 30,동대구,부산,35,45,(주)동양고속,고속
55,09 : 00,동대구,부산,22,28,(주)천일고속,우등
56,09 : 40,동대구,부산,24,28,(주)한일고속,우등
57,10 : 20,동대구,부산,15,28,(주)동양고속,우등
58,11 : 40,동대구,부산,21,28,(주)한일고속,우등
59,13 : 00,동대구,부산,23,28,(주)중앙고속,우등
60,13 : 40,동대구,부산,37,45,(주)동양고속,고속
61,14 : 20,동대구,부산,23,28,(주)천일고속,우등
62,15 : 00,동대구,부산,24,28,(주)한일고속,우등
63,15 : 40,동대구,부산,20,28,(주)동양고속,우등
64,17 : 00,동대구,부산,22,28,(주)한일고속,우등
65,18 : 20,동대구,부산,24,28,(주)중앙고속,우등
66,19 : 00,동대구,부산,40,45,(주)동양고속,고속
67,19 : 30,동대구,부산,25,28,(주)천일고속,우등
68,20 : 40,동대구,부산,22,28,(주)동양고속,우등
