,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 00,센트럴시티(서울),군산,12,21,(주)중앙고속,프리미엄
1,06 : 20,센트럴시티(서울),군산,43,45,금호고속(주),고속
2,06 : 40,센트럴시티(서울),군산,26,28,금호고속(주),우등
3,07 : 00,센트럴시티(서울),군산,18,21,금호고속(주),프리미엄
4,07 : 40,센트럴시티(서울),군산,12,21,(주)천일고속,프리미엄
5,08 : 00,센트럴시티(서울),군산,26,28,(주)중앙고속,우등
6,08 : 15,센트럴시티(서울),군산,42,45,(주)천일고속,고속
7,08 : 30,센트럴시티(서울),군산,25,28,금호고속(주),우등
8,08 : 45,센트럴시티(서울),군산,11,21,(주)중앙고속,프리미엄
9,09 : 00,센트럴시티(서울),군산,23,28,(주)천일고속,우등
10,09 : 20,센트럴시티(서울),군산,25,28,(주)중앙고속,우등
11,09 : 40,센트럴시티(서울),군산,34,45,(주)중앙고속,고속
12,10 : 00,센트럴시티(서울),군산,6,21,금호고속(주),프리미엄
13,10 : 20,센트럴시티(서울),군산,13,28,금호고속(주),우등
14,10 : 40,센트럴시티(서울),군산,17,21,(주)천일고속,프리미엄
15,11 : 00,센트럴시티(서울),군산,24,28,(주)천일고속,우등
16,11 : 20,센트럴시티(서울),군산,43,45,금호고속(주),고속
17,11 : 40,센트럴시티(서울),군산,19,21,(주)중앙고속,프리미엄
18,12 : 00,센트럴시티(서울),군산,27,28,(주)중앙고속,우등
19,12 : 20,센트럴시티(서울),군산,27,28,금호고속(주),우등
20,12 : 40,센트럴시티(서울),군산,44,45,(주)천일고속,고속
21,13 : 00,센트럴시티(서울),군산,28,28,(주)천일고속,우등
22,13 : 20,센트럴시티(서울),군산,17,21,금호고속(주),프리미엄
23,13 : 40,센트럴시티(서울),군산,26,28,(주)중앙고속,우등
24,14 : 00,센트럴시티(서울),군산,41,45,(주)중앙고속,고속
25,14 : 20,센트럴시티(서울),군산,16,21,(주)천일고속,프리미엄
26,14 : 40,센트럴시티(서울),군산,27,28,금호고속(주),우등
27,15 : 00,센트럴시티(서울),군산,27,28,(주)천일고속,우등
28,15 : 20,센트럴시티(서울),군산,15,21,(주)중앙고속,프리미엄
29,15 : 40,센트럴시티(서울),군산,43,45,금호고속(주),고속
30,16 : 00,센트럴시티(서울),군산,22,28,금호고속(주),우등
31,16 : 20,센트럴시티(서울),군산,14,21,금호고속(주),프리미엄
32,17 : 00,센트럴시티(서울),군산,17,21,(주)천일고속,프리미엄
33,17 : 20,센트럴시티(서울),군산,28,28,(주)중앙고속,우등
34,17 : 40,센트럴시티(서울),군산,43,45,(주)천일고속,고속
35,18 : 00,센트럴시티(서울),군산,24,28,금호고속(주),우등
36,18 : 15,센트럴시티(서울),군산,21,21,(주)중앙고속,프리미엄
37,18 : 30,센트럴시티(서울),군산,27,28,(주)천일고속,우등
38,18 : 45,센트럴시티(서울),군산,28,28,(주)중앙고속,우등
39,19 : 00,센트럴시티(서울),군산,44,45,(주)중앙고속,고속
40,19 : 20,센트럴시티(서울),군산,15,21,금호고속(주),프리미엄
41,19 : 40,센트럴시티(서울),군산,26,28,금호고속(주),우등
42,20 : 00,센트럴시티(서울),군산,19,21,(주)천일고속,프리미엄
43,20 : 30,센트럴시티(서울),군산,25,28,(주)천일고속,우등
44,22 : 00,센트럴시티(서울),군산,16,21,(주)중앙고속,심야프리미엄
45,22 : 50,센트럴시티(서울),군산,26,28,(주)중앙고속,심야우등
46,23 : 50,센트럴시티(서울),군산,27,28,금호고속(주),심야우등
47,06 : 40,용인,군산,27,28,경남여객,우등
48,14 : 45,용인,군산,27,28,경남여객,우등
